align,對準
attach,附上
audit,稽核
available,可使用的
area,區域(a)
abort,終止
absence,缺席
ability,能力
active,主動的
adjust,調整(a)
air shower,潔淨走道
abnormal,異常的
actual,真實的
add,增加
alarm,警報
automatic,自動的
average,平均
acid,酸
annually,每年的
benchmark,標竿學習
backup,支援(b)
beam,光束
bottle,瓶子
bank,銀行/暫存
basic,基礎的
bottom,底部
broken,破掉的
cassette,晶舟
continue,繼續
card,卡片
cart,手推車
choose,挑選
confidential,機密
contamination,污染
cycle,週期
cancel,取消
center,中心
certify,技能確認
change,更換
chart,圖表
check,檢查
chemical,化學
clean,清潔
clear,清除(c)
color,顏色
collect,蒐集
comment,註解(c)
complete,完成的
computer,電腦
confirm,確認
control,控制
copy,拷貝
count,計算
customer,客戶
cycle time,生產週期
daily,每日的
date,日期
document,文件
data,資料
defect,缺陷(d)
delay,延遲
delete,刪除
dry,乾的
event,事件
error,錯誤(e)
environment,環境
emergency stop,緊急停止
execute,執行
emergency,緊急情況
engineer,工程師
enter,進入
equipment,設備
exit,退出
follow,照做
fault,錯誤(f)
floor,地板
freeze,凍結
find,發現
focus,焦點
full,滿的
function,功能
glass,眼鏡
green,綠色
gas,氣體
grade,等級
group,群組
hard-disk,硬盤
heavy,重的
helmet,安全帽
hot,熱的
handle,處理
help,幫助
held,暫停（過去式）
hold,暫停
hole,缺陷(h)
impact,影響
instruction,指令
information,資訊
improve,改善
inform,通知(i)
input,輸入
inspection,檢驗
Internet,網際網路
interview,面試
inhibition,禁止/禁用
issue,發行/議題
job,工作
keep,保持
keyboard,鍵盤
lot,批貨
lithography,光學
label,標籤
leader,組長
learn,學習
level,程度
lift,掀起
light,光
line,直線
link,連結
liquid,液體
list,清單
load,上或（裝載）
loading,負荷
location,區域(l)
lock,鎖住
log sheet,工作記錄
lose,遺失
monthly,每月的
miss-operation,錯誤動作
mechanical,機械的
monitor(每),每日檢測
move,移動/產出
machine,機器
maintain,維護
manual,手動
manufacture,製造
mark,記號
mask,光罩
material,原料
measure,量測
merge,合併
message,訊息
metal,金屬
monitor(監),監視器/測機
more,多的
new,新的
normal,正常的
note,註解(n)
notice,通知(n)
number,號碼
out,輸出(prep.)
operation,操作
off-line,離線
office,辦公室
on-line,在線
output,輸出
oven,烤箱
pod,晶片盒
pressure,壓力
part,零件
product,產品
purge,清除(p)
page,頁數
perfect,完美
plus,加
positive,確實
paper,紙張
parameter,參數
particle,微粒
pass,合格
password,密碼
personal,個人的
photo,相片
plan,計畫
point,點
position,位置
postpone,延期
power,力量
practice,練習
prepare,準備
press,按下
preview,預覽
price,價格
print,列印
priority,優先權
process,過程
protect,保護
push,推進
quantity,數量
quality,品質
remind,提醒
remark,註記
recover,恢復/復機
rate,比率
re-certify,再檢定
recipe,食譜、處方/程式
record,紀錄
release,釋放
remove,移開
repair,修理
report,報告
reset,重設
rework,重做
route,路程
rule,規則
run,運轉/跑
run-card,流程卡
scratch,刮傷
spec,規格
season,暖機/季節
shift,班次
sop,標準作業程序
same,相同
sheet,表單
speed,速度
super,超級
super hot run,超級急件
safe,安全
save,儲存
scrap,報廢
screen,螢幕
select,選擇
service,服務
show,顯示
skip,跳過
sorter,分類機
source,來源
split,分帳、分批
stage,站別/階段
standard,標準
standby,等待(s)
start,啟動
status,狀況
step,步驟
stocker,儲存櫃
success,成功
supervisor,監督者
support,支援(s)
switch,開關
system,系統
tune,調整(t)
track,追縱
telephone,電話
turn rate,週轉率
thickness,厚度
tag,標籤/標註
tape,膠帶
target,目標
technician,技術員
temperature,溫度
time,時間
title,標題
top,頂端
training,訓練
trend,趨勢
unload,下貨（卸載）
use,使用
username,使用者名稱
vendor,廠商
view,查看
weekly,每週
waiting,等待(w)
wafer,晶圓
warning,警告
wet,濕的
window,視窗
yield,良率
zero,零